UniprotID,No. Partners
AN33B_HUMAN,0
AN34A_HUMAN,32
AN34B_HUMAN,0
AN34C_HUMAN,20
AN36A_HUMAN,6
AN36B_HUMAN,4
AN36C_HUMAN,0
ANAG_HUMAN,3
ANC2_HUMAN,53
ANCHR_HUMAN,3
ANDR_HUMAN,228
ANF_HUMAN,41
ANFB_HUMAN,10
ANFC_HUMAN,0
ANFY1_HUMAN,16
ANGE1_HUMAN,0
ANGE2_HUMAN,1
ANGI_HUMAN,3
ANGL1_HUMAN,0
ANGL2_HUMAN,3
ANGL3_HUMAN,4
ANGL4_HUMAN,9
ANGL5_HUMAN,0
ANGL6_HUMAN,0
ANGL7_HUMAN,13
ANGL8_HUMAN,6
ANGP1_HUMAN,1
ANGP2_HUMAN,7
ANGP4_HUMAN,0
ANGT_HUMAN,9
ANHX_HUMAN,0
ANK1_HUMAN,19
ANK2_HUMAN,8
ANK3_HUMAN,11
ANKAR_HUMAN,0
ANKE1_HUMAN,2
ANKF1_HUMAN,0
ANKH_HUMAN,1
ANKH1_HUMAN,13
ANKK1_HUMAN,0
ANKL1_HUMAN,0
ANKL2_HUMAN,1
ANKMT_HUMAN,21
ANKR1_HUMAN,6
ANKR2_HUMAN,7
ANKR6_HUMAN,3
ANKR7_HUMAN,0
ANKR9_HUMAN,5
ANKS3_HUMAN,4
ANKS6_HUMAN,12
ANKUB_HUMAN,0
ANKY1_HUMAN,1
ANKY2_HUMAN,19
ANKZ1_HUMAN,5
ANLN_HUMAN,131
ANM1_HUMAN,70
ANM2_HUMAN,47
ANM3_HUMAN,12
ANM5_HUMAN,98
ANM6_HUMAN,30
ANM7_HUMAN,17
ANM8_HUMAN,27
ANM9_HUMAN,0
ANO1_HUMAN,0
ANO10_HUMAN,0
ANO2_HUMAN,0
ANO3_HUMAN,0
ANO4_HUMAN,0
ANO5_HUMAN,0
ANO6_HUMAN,12
ANO7_HUMAN,66
ANO8_HUMAN,0
ANO9_HUMAN,0
ANPRA_HUMAN,4
ANPRB_HUMAN,4
ANPRC_HUMAN,3
ANR10_HUMAN,15
ANR11_HUMAN,43
ANR12_HUMAN,12
ANR16_HUMAN,0
ANR17_HUMAN,2
ANR19_HUMAN,0
ANR22_HUMAN,0
ANR23_HUMAN,9
ANR24_HUMAN,3
ANR26_HUMAN,37
ANR27_HUMAN,3
ANR28_HUMAN,47
ANR29_HUMAN,15
ANR31_HUMAN,0
ANR35_HUMAN,0
ANR37_HUMAN,0
ANR39_HUMAN,1
ANR40_HUMAN,1
ANR42_HUMAN,0
ANR44_HUMAN,13
ANR45_HUMAN,2
ANR46_HUMAN,3
ANR49_HUMAN,5
ANR50_HUMAN,4
ANR52_HUMAN,0
ANR53_HUMAN,1
ANR54_HUMAN,0
ANR55_HUMAN,18
ANR60_HUMAN,0
ANR61_HUMAN,0
ANR62_HUMAN,0
ANR63_HUMAN,0
ANR65_HUMAN,0
ANR66_HUMAN,0
ANRA2_HUMAN,26
ANS1A_HUMAN,89
ANS1B_HUMAN,3
ANS4B_HUMAN,1
ANT3_HUMAN,9
ANTR1_HUMAN,120
ANTR2_HUMAN,7
ANTRL_HUMAN,0
ANX10_HUMAN,2
ANX11_HUMAN,31
ANX13_HUMAN,1
ANXA1_HUMAN,48
ANXA2_HUMAN,35
ANXA3_HUMAN,9
ANXA4_HUMAN,9
ANXA5_HUMAN,48
ANXA6_HUMAN,16
ANXA7_HUMAN,108
ANXA8_HUMAN,2
ANXA9_HUMAN,3
AOAH_HUMAN,2
AOC1_HUMAN,14
AOC2_HUMAN,2
AOC3_HUMAN,26
AOFA_HUMAN,3
AOFB_HUMAN,4
AOXA_HUMAN,4
AP180_HUMAN,6
AP1AR_HUMAN,0
AP1B1_HUMAN,34
AP1G1_HUMAN,26
AP1G2_HUMAN,9
AP1M1_HUMAN,88
AP1M2_HUMAN,23
AP1S1_HUMAN,7
AP1S2_HUMAN,25
AP1S3_HUMAN,1
AP2A_HUMAN,37
AP2A1_HUMAN,14
AP2A2_HUMAN,10
AP2B_HUMAN,5
AP2B1_HUMAN,52
AP2C_HUMAN,5
AP2D_HUMAN,64
AP2E_HUMAN,0
AP2M1_HUMAN,173
AP2S1_HUMAN,23
AP3B1_HUMAN,23
AP3B2_HUMAN,0
AP3D1_HUMAN,19
AP3M1_HUMAN,14
AP3M2_HUMAN,4
AP3S1_HUMAN,16
AP3S2_HUMAN,6
AP4A_HUMAN,2
AP4AT_HUMAN,74
AP4B1_HUMAN,5
AP4E1_HUMAN,9
AP4M1_HUMAN,28
AP4S1_HUMAN,17
AP5B1_HUMAN,1
AP5M1_HUMAN,4
AP5S1_HUMAN,0
AP5Z1_HUMAN,0
APAF_HUMAN,11
APBA1_HUMAN,5
APBA2_HUMAN,21
APBA3_HUMAN,28
APBB1_HUMAN,76
APBB2_HUMAN,25
APBB3_HUMAN,21
APBP2_HUMAN,104
APC_HUMAN,159
APC1_HUMAN,20
APC10_HUMAN,18
APC11_HUMAN,51
APC13_HUMAN,79
APC15_HUMAN,42
APC16_HUMAN,26
APC4_HUMAN,54
APC5_HUMAN,23
APC7_HUMAN,14
APCD1_HUMAN,5
APCDL_HUMAN,0
APCL_HUMAN,4
APEL_HUMAN,2
APEX1_HUMAN,971
APEX2_HUMAN,13
APH1A_HUMAN,31
APH1B_HUMAN,7
API5_HUMAN,84
APJ_HUMAN,98
APLD1_HUMAN,0
APLF_HUMAN,28
APLP1_HUMAN,10
APLP2_HUMAN,28
APMAP_HUMAN,6
APOA_HUMAN,4
APOA1_HUMAN,59
APOA2_HUMAN,18
APOA4_HUMAN,4
APOA5_HUMAN,16
APOB_HUMAN,24
APOBR_HUMAN,0
APOC1_HUMAN,20
APOC2_HUMAN,6
APOC3_HUMAN,6
APOC4_HUMAN,0
APOD_HUMAN,10
APOE_HUMAN,97
APOF_HUMAN,3
APOH_HUMAN,3
APOL1_HUMAN,2
APOL2_HUMAN,32
APOL3_HUMAN,16
APOL4_HUMAN,1
APOL5_HUMAN,0
APOL6_HUMAN,2
APOM_HUMAN,4
APR_HUMAN,6
APRG1_HUMAN,0
APRIO_HUMAN,84
APRV1_HUMAN,2
APT_HUMAN,8
APTX_HUMAN,26
AQ12A_HUMAN,0
AQ12B_HUMAN,0
AQP1_HUMAN,46
AQP10_HUMAN,12
AQP11_HUMAN,1
AQP2_HUMAN,44
AQP3_HUMAN,16
AQP4_HUMAN,1
AQP5_HUMAN,7
AQP6_HUMAN,284
AQP7_HUMAN,25
AQP73_HUMAN,0
AQP8_HUMAN,5
